time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
31009,-0.02,0.98,0.26,-7.57,0.98,-3.45,-0.05,0.88,0.54,-1.53,0.24,-1.16,16608170
31020,-0.02,1.00,0.26,-5.71,2.41,-2.81,-0.05,0.88,0.53,-0.95,0.15,-1.25,16611165
31030,-0.03,1.03,0.26,-5.22,2.75,0.06,-0.04,0.88,0.53,-0.61,1.25,-1.10,16610566
31040,-0.02,1.04,0.27,2.26,1.28,0.15,-0.04,0.88,0.53,-0.92,0.95,-1.31,16611251
31052,-0.02,1.04,0.26,1.86,3.30,0.00,-0.04,0.88,0.54,-0.61,1.28,-0.92,16610531
31064,-0.02,1.03,0.26,0.61,3.14,0.27,-0.05,0.88,0.54,-0.98,1.53,-1.01,16612521
31076,-0.02,1.02,0.26,-0.98,2.93,-0.89,-0.05,0.89,0.55,-1.53,1.95,-1.10,16612515
31087,-0.02,1.01,0.25,-1.83,2.50,-1.46,-0.05,0.89,0.55,-1.19,1.56,-0.95,16609263
31098,-0.02,1.00,0.25,-2.41,2.62,-1.80,-0.05,0.89,0.55,-1.56,1.16,-0.95,16608628
31111,-0.02,1.00,0.25,-2.69,2.50,-2.41,-0.05,0.89,0.55,-1.71,0.92,-0.55,16611201
31122,-0.02,1.00,0.25,-2.90,2.78,-2.44,-0.05,0.88,0.55,-1.92,0.67,-0.49,16610618
31134,-0.03,1.00,0.25,-2.62,3.54,-2.44,-0.05,0.88,0.55,-2.01,0.49,-0.21,16609694
31145,-0.03,1.01,0.25,-2.26,4.43,-2.78,-0.05,0.88,0.55,-1.89,0.95,-0.09,16612365
31158,-0.04,1.01,0.25,-1.53,4.85,-2.75,-0.05,0.88,0.55,-1.86,1.01,0.15,16611822
31169,-0.03,1.01,0.26,-1.28,5.52,-2.23,-0.05,0.88,0.54,-2.01,1.50,0.21,16610263
31180,-0.03,1.01,0.26,-1.74,5.55,-0.82,-0.05,0.88,0.54,-1.50,2.08,0.27,16610227
31193,-0.02,1.00,0.26,-1.92,5.19,0.49,-0.05,0.88,0.54,-1.56,2.26,0.18,16611203
31204,-0.00,1.00,0.26,-1.92,4.49,0.49,-0.05,0.88,0.54,-1.25,1.80,-0.21,16610159
31216,0.02,1.00,0.26,-2.59,3.36,-0.89,-0.06,0.88,0.54,-0.92,0.98,-0.52,16608847
31227,0.03,1.00,0.26,-2.56,1.53,-2.47,-0.06,0.88,0.54,-1.04,0.31,-0.61,16609472
31240,0.04,1.00,0.26,-2.26,0.18,-3.36,-0.06,0.88,0.54,-0.64,-0.18,-0.82,16608642
31251,0.04,1.00,0.26,-1.22,-1.53,-3.05,-0.06,0.88,0.54,-0.43,-0.09,-0.79,16611568
31263,0.03,1.00,0.26,-1.59,-2.41,-5.49,-0.06,0.88,0.54,-0.79,-0.46,-0.58,16611356
31275,0.02,1.01,0.25,-1.50,-2.90,-4.70,-0.05,0.88,0.54,-1.04,-0.21,-0.03,16610191
31286,0.00,1.01,0.25,-0.98,-2.66,-5.86,-0.05,0.88,0.55,-0.70,-0.49,0.18,16607960
31298,-0.02,1.01,0.25,-0.95,-1.53,-5.31,-0.05,0.88,0.55,-1.46,-0.37,0.12,16610756
31309,-0.03,1.01,0.25,-1.40,-0.18,-3.36,-0.05,0.88,0.55,-1.92,-0.61,0.70,16612485
31322,-0.05,1.01,0.25,-1.19,1.46,-4.00,-0.05,0.88,0.55,-1.83,-0.15,0.64,16609404
31333,-0.06,1.01,0.25,-1.62,2.78,-4.15,-0.05,0.89,0.56,-2.08,0.12,0.67,16608822
31345,-0.06,1.00,0.25,-2.32,4.06,-3.75,-0.05,0.89,0.56,-2.23,0.49,0.82,16611647
31356,-0.06,1.01,0.25,-2.26,4.94,-3.33,-0.04,0.89,0.56,-2.66,1.53,0.95,16609865
31368,-0.06,1.01,0.25,-1.86,5.68,-2.66,-0.04,0.89,0.55,-2.81,1.89,0.82,16608991
31380,-0.05,1.01,0.25,-1.31,6.16,-1.68,-0.04,0.89,0.55,-2.29,1.98,1.34,16610009
31391,-0.05,1.01,0.25,-1.43,6.20,-0.76,-0.04,0.88,0.55,-2.26,1.86,1.40,16610760
31404,-0.03,1.01,0.26,-1.37,6.16,1.22,-0.04,0.88,0.55,-1.89,2.11,1.34,16611050
31415,-0.02,1.00,0.26,-1.92,6.13,2.81,-0.05,0.88,0.54,-1.77,2.20,0.95,16609684
