time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
162933,0.06,1.02,0.10,-3.78,2.23,-2.26,0.03,-0.01,1.07,-1.13,0.70,-0.24,16634601
162944,0.05,1.02,0.10,-1.04,0.49,-1.80,0.03,-0.01,1.07,-1.19,0.76,-0.37,16635581
162953,0.05,1.02,0.10,-6.01,2.47,-1.50,0.03,-0.01,1.07,-1.13,1.07,-0.43,16633927
162963,0.06,1.02,0.10,-3.94,1.89,-2.38,0.03,-0.01,1.07,-1.28,0.49,-0.34,16633750
162974,0.05,1.03,0.11,-1.59,1.62,-1.71,0.03,-0.01,1.07,-1.31,1.10,-0.40,16633105
162985,0.04,1.03,0.11,-1.04,3.02,0.61,0.03,-0.01,1.07,-0.95,0.64,-0.43,16635911
162998,0.06,1.03,0.11,-0.85,1.53,-1.56,0.03,-0.01,1.07,-1.19,0.70,-0.31,16635648
163009,0.05,1.02,0.10,-2.53,2.50,-1.16,0.03,-0.01,1.07,-1.01,0.61,-0.15,16632927
163021,0.06,1.02,0.10,-3.23,2.04,-2.14,0.03,-0.01,1.07,-1.13,0.67,-0.37,16632655
163033,0.05,1.02,0.10,-2.62,2.20,-1.37,0.03,-0.01,1.07,-1.19,0.61,-0.37,16630089
163045,0.05,1.02,0.11,-1.46,2.47,-1.25,0.03,-0.01,1.07,-0.79,0.89,-0.24,16629153
163056,0.05,1.03,0.11,-1.28,2.11,-1.56,0.03,-0.01,1.07,-1.22,0.73,-0.27,16630720
163068,0.05,1.02,0.10,-1.92,2.47,-1.16,0.03,-0.01,1.07,-1.28,0.82,-0.34,16634544
163080,0.05,1.02,0.10,-3.17,1.98,-1.77,0.03,-0.01,1.07,-1.19,0.89,-0.40,16636626
163091,0.05,1.02,0.10,-2.72,2.26,-1.71,0.03,-0.01,1.07,-0.79,0.58,-0.06,16634469
163103,0.05,1.02,0.11,-1.89,2.17,-1.19,0.03,-0.01,1.07,-1.25,0.67,-0.40,16634823
163115,0.05,1.02,0.11,-1.62,2.14,-1.31,0.03,-0.01,1.07,-1.16,0.92,-0.24,16636616
163127,0.05,1.02,0.10,-2.29,2.41,-1.43,0.03,-0.01,1.07,-1.31,0.49,-0.21,16637825
163138,0.05,1.02,0.10,-2.59,1.98,-1.65,0.03,-0.01,1.07,-1.10,0.64,-0.52,16635521
163150,0.05,1.02,0.10,-2.59,2.14,-1.40,0.03,-0.01,1.07,-1.10,0.73,-0.37,16633808
163162,0.05,1.02,0.11,-2.08,2.11,-1.62,0.03,-0.01,1.07,-1.01,0.82,-0.49,16633639
163173,0.05,1.02,0.11,-1.83,2.11,-1.50,0.03,-0.01,1.07,-1.04,0.46,0.00,16634077
163185,0.05,1.02,0.11,-2.35,2.01,-1.43,0.03,-0.01,1.07,-1.10,0.70,-0.15,16634024
