time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
125791,0.02,1.02,-0.10,-1.56,-3.17,-4.12,-0.13,0.61,0.85,-3.39,-1.34,-2.26,16608376
125801,-0.01,1.01,-0.10,-0.67,-3.02,-1.34,-0.13,0.61,0.85,-3.42,-1.31,-2.75,16607889
125812,-0.04,1.01,-0.09,3.94,1.62,-0.06,-0.12,0.61,0.84,-3.48,-0.64,-2.62,16607801
125824,-0.08,1.03,-0.09,1.53,5.31,1.92,-0.11,0.62,0.84,-2.53,0.55,-2.38,16609574
125836,-0.09,1.03,-0.09,2.84,5.89,3.23,-0.10,0.62,0.84,-2.62,2.32,-2.35,16609482
125847,-0.09,1.02,-0.08,4.52,5.43,1.53,-0.10,0.62,0.85,-2.93,2.17,-1.98,16610545
125859,-0.07,1.02,-0.08,6.59,1.01,0.43,-0.10,0.62,0.85,-2.59,2.14,-1.53,16611280
125871,-0.03,0.99,-0.08,2.90,-1.04,0.73,-0.10,0.63,0.85,-3.85,2.62,-1.53,16611375
125882,-0.01,0.97,-0.08,-1.46,-2.11,0.58,-0.11,0.63,0.85,-3.60,0.76,-2.11,16610066
125894,-0.02,0.97,-0.07,-2.50,-1.65,-1.56,-0.11,0.63,0.84,-2.72,-0.89,-2.53,16611844
125905,-0.04,0.98,-0.07,-1.50,-0.52,-2.62,-0.11,0.63,0.83,-2.26,-2.29,-2.62,16611058
125918,-0.06,0.98,-0.06,-0.76,0.46,-1.62,-0.11,0.63,0.83,-1.50,-2.01,-2.38,16609772
125929,-0.07,0.99,-0.06,-0.49,1.65,-0.49,-0.10,0.63,0.83,-1.19,-1.01,-1.77,16608904
125941,-0.08,0.98,-0.06,-1.74,1.92,-0.18,-0.10,0.63,0.83,-0.34,0.03,-1.25,16609402
125953,-0.07,0.98,-0.06,-0.79,1.10,-1.25,-0.09,0.62,0.84,-0.58,0.61,-0.67,16609939
125964,-0.07,0.98,-0.07,-1.04,0.34,-2.38,-0.09,0.62,0.84,-0.73,0.73,0.18,16606889
125976,-0.08,0.99,-0.08,-1.46,0.89,-2.08,-0.09,0.62,0.84,-1.04,0.79,0.82,16606363
125987,-0.10,1.00,-0.08,-1.16,2.75,-1.77,-0.09,0.62,0.84,-1.31,1.07,0.79,16608221
126000,-0.11,1.00,-0.09,-1.40,4.33,-0.55,-0.10,0.62,0.85,-1.28,0.67,0.70,16610988
126011,-0.10,0.99,-0.09,-0.98,5.46,-0.06,-0.10,0.62,0.84,-1.50,0.34,1.16,16609246
126023,-0.09,0.99,-0.09,-0.89,5.34,-0.52,-0.10,0.62,0.84,-1.59,0.21,0.98,16607534
126034,-0.07,0.99,-0.08,-0.95,4.73,-1.40,-0.10,0.61,0.84,-1.28,0.37,0.67,16608448
126046,-0.05,0.98,-0.08,-1.71,3.72,-4.36,-0.11,0.62,0.84,-1.13,-0.40,-0.12,16608235
