time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
196990,0.06,1.01,0.09,-3.20,1.89,-2.01,0.04,0.95,-0.28,8.61,-1.04,-2.75,16639181
197002,0.06,1.04,0.12,4.18,0.52,-0.21,0.03,0.94,-0.28,5.52,0.40,2.96,16637945
197013,0.05,1.06,0.15,10.22,2.81,-2.35,0.01,0.92,-0.29,-0.98,5.10,11.17,16636776
197025,0.04,1.09,0.17,21.58,3.85,1.28,0.01,0.93,-0.30,-10.93,8.58,12.88,16637014
197037,0.04,1.09,0.15,26.58,7.45,-2.41,0.03,0.96,-0.29,-15.08,10.65,10.83,16637533
197049,0.03,1.02,0.09,7.72,7.57,0.64,0.05,0.97,-0.29,-2.47,5.13,-2.17,16639358
197060,0.03,0.90,0.04,-16.57,9.00,-0.89,0.05,0.95,-0.28,7.26,-2.29,-11.69,16639030
197072,0.05,0.92,0.03,-20.87,7.84,-1.68,0.05,0.97,-0.27,12.48,-4.09,-9.83,16638323
197084,0.07,1.02,0.08,-5.25,4.55,-1.86,0.05,0.96,-0.26,15.53,3.14,-3.54,16637135
197096,0.06,1.04,0.11,2.62,5.19,-0.73,0.04,0.95,-0.28,5.52,4.21,1.71,16634178
197107,0.05,1.06,0.13,7.23,6.32,-0.92,0.03,0.94,-0.30,-11.08,7.69,4.73,16637997
197120,0.05,1.07,0.13,10.99,6.93,-1.86,0.04,0.96,-0.30,-15.41,7.05,3.39,16639500
197131,0.05,1.01,0.09,-3.33,4.97,-0.09,0.04,0.95,-0.30,-5.65,2.41,-4.03,16637576
197142,0.06,0.96,0.06,-15.35,4.18,-0.27,0.04,0.95,-0.28,7.48,-0.40,-8.30,16637518
197154,0.07,1.00,0.07,-9.92,2.72,-1.16,0.04,0.95,-0.28,11.17,-0.43,-3.75,16637309
197166,0.06,1.04,0.11,-1.22,2.90,-1.83,0.03,0.95,-0.29,-0.15,1.13,1.50,16636995
197178,0.06,1.05,0.13,5.71,3.08,-2.01,0.03,0.95,-0.30,-7.93,3.23,4.24,16637822
197189,0.05,1.05,0.12,6.07,2.66,-1.43,0.04,0.95,-0.29,-6.90,1.98,1.13,16636996
197201,0.05,1.00,0.08,-5.46,1.89,-0.27,0.05,0.95,-0.28,-2.23,-0.55,-4.06,16634867
197213,0.05,0.99,0.07,-10.53,2.14,-0.85,0.04,0.95,-0.27,6.74,-0.85,-4.03,16635523
197225,0.05,1.02,0.09,-3.63,2.44,-1.19,0.04,0.95,-0.28,5.46,1.22,-0.82,16638783
