time,faccx,faccy,faccz,fgyrx,fgyry,fgyrz,saccx,saccy,saccz,sgyrx,sgyry,sgyrz,load
63041,-0.41,-0.90,-0.18,3.78,1.53,0.58,0.03,0.94,0.52,-3.85,-0.95,0.24,16452264
63051,-0.42,-0.90,-0.18,3.42,1.25,3.81,0.04,0.94,0.53,-4.00,0.31,-0.24,16452295
63060,-0.42,-0.90,-0.18,2.90,1.31,5.86,0.04,0.94,0.53,-4.49,2.20,-0.76,16452352
63073,-0.42,-0.89,-0.18,1.04,1.80,6.47,0.04,0.94,0.53,-4.91,3.33,-0.95,16452279
63085,-0.44,-0.85,-0.19,-0.70,-1.40,3.66,0.04,0.94,0.53,-5.16,4.67,-1.43,16452191
63096,-0.44,-0.83,-0.20,-1.83,-2.04,1.22,0.05,0.94,0.53,-4.12,5.40,-1.10,16452085
63109,-0.44,-0.84,-0.21,-0.67,-2.38,-2.87,0.06,0.94,0.52,-3.45,4.85,-1.16,16451857
63121,-0.43,-0.85,-0.21,0.95,-1.65,-3.42,0.06,0.94,0.51,-2.93,4.91,-1.16,16451840
63132,-0.41,-0.86,-0.21,1.56,0.21,-0.61,0.06,0.95,0.51,-3.17,4.18,-1.40,16451961
63144,-0.41,-0.85,-0.21,0.15,0.52,-0.09,0.05,0.95,0.52,-3.23,4.91,-1.68,16451989
63157,-0.41,-0.85,-0.21,-0.27,-0.09,-1.46,0.05,0.95,0.52,-3.60,6.38,-1.65,16451860
63169,-0.41,-0.86,-0.22,0.00,-0.49,-1.74,0.04,0.95,0.51,-4.06,4.43,-1.19,16451868
63180,-0.41,-0.87,-0.21,1.22,-0.49,-0.64,0.03,0.95,0.51,-4.24,2.41,-0.70,16451788
63193,-0.40,-0.88,-0.21,2.26,0.00,-0.31,0.03,0.95,0.51,-3.78,2.72,-1.01,16451882
63205,-0.41,-0.89,-0.21,3.54,-0.40,-0.12,0.03,0.95,0.51,-4.91,2.53,-1.83,16452111
63216,-0.41,-0.89,-0.21,3.75,-1.46,0.37,0.03,0.94,0.51,-5.04,1.83,-2.26,16452151
63228,-0.41,-0.87,-0.21,3.14,-1.62,-1.04,0.03,0.94,0.51,-5.46,2.87,-2.66,16452136
63241,-0.40,-0.86,-0.20,2.29,-0.98,-1.80,0.03,0.94,0.51,-4.58,3.75,-2.41,16452061
63252,-0.39,-0.85,-0.20,1.83,0.00,-1.53,0.03,0.94,0.51,-4.30,4.24,-2.75,16452028
63264,-0.38,-0.86,-0.20,2.35,0.40,-1.43,0.03,0.93,0.51,-4.24,3.85,-2.93,16452148
63277,-0.39,-0.86,-0.20,2.59,0.27,-2.08,0.03,0.93,0.51,-4.39,3.57,-2.23,16452002
